id,prestacion_Id_id,codCIE10_Id_id
548,NM030412,J34.1
549,NM030412,J34.2
550,NM030412,J34.3
551,NM030412,J34.8
552,NM030412,Q30.1
553,NM030412,Q30.8
554,NM030472,C11.0
555,NM030472,C11.1
556,NM030472,C11.2
557,NM030472,C11.3
558,NM030472,C11.8
559,NM030472,C11.9
560,NM030472,C30.0
561,NM030472,C31.0
562,NM030472,C31.1
563,NM030472,C31.3
564,NM030472,C31.8
565,NM030472,C31.9
566,NM030472,D14.0
567,NM030472,D37.0
568,NM030472,J31.0
569,NM030472,J32.0
570,NM030472,J32.2
571,NM030472,J32.3
572,NM030472,J32.4
573,NM030472,J32.9
574,NM030472,J33.0
575,NM030472,J33.1
576,NM030472,J33.9
577,NM030472,J34.0
578,NM030472,J34.1
579,NM030472,J34.2
580,NM030472,J34.3
581,NM030472,J34.8
582,NM030472,M95.0
583,NM030472,Q30.0
584,NM030472,Q30.1
585,NM030472,Q30.3
586,NM030472,Q30.9
587,NM030472,R04.0
588,NM030472,S01.2
589,NM030472,S03.1
590,NM030472,T17.0
591,NM030472,T17.1
592,NM030472,T70.1
593,NM031301,C02.4
594,NM031301,C09.0
595,NM031301,C09.8
596,NM031301,C09.9
597,NM031301,C11.1
598,NM031301,C14.2
599,NM031301,D00.0
600,NM031301,D10.4
601,NM031301,D10.6
602,NM031301,D37.0
603,NM031301,J03.9
604,NM031301,J35.0
605,NM031301,J35.1
606,NM031301,J35.2
607,NM031301,J35.3
608,NM031301,J35.8
609,NM031301,J35.9
610,NM031301,J36
611,NM031301,T17.2
612,NM031370,C02.4
613,NM031370,C09.0
614,NM031370,C09.8
615,NM031370,C09.9
616,NM031370,C11.1
617,NM031370,C14.2
618,NM031370,D00.0
619,NM031370,D10.4
620,NM031370,D10.6
621,NM031370,D37.0
622,NM031370,J03.9
623,NM031370,J35.0
624,NM031370,J35.1
625,NM031370,J35.2
626,NM031370,J35.3
627,NM031370,J35.8
628,NM031370,J35.9
629,NM031370,J36
